feature,importance
product_name_Diamondback Women's Serene Classic Comfort Bi,0.0011529092
product_name_Nike Men's Deutschland Weltmeister Winners Bl,0.0011505712
product_name_TYR Boys' Team Digi Jammer,0.0011491666
category_name_Baby,0.0011489253
product_name_Under Armour Women's Ignite PIP VI Slide,0.0011446823
category_name_Tennis & Racquet,0.0011410271
product_name_Under Armour Men's Compression EV SL Slide,0.0011386853
product_name_CDs of rock,0.0011357139
department_name_Fan Shop,0.0011319683
order_country_Eritrea,0.0011303354
order_country_Vietnam,0.0011271413
customer_state_NM,0.0011230955
order_is_weekend,0.0011228286
payment_type_DEBIT,0.0011203036
order_country_Peru,0.0011179212
order_country_Thailand,0.0011176964
order_country_South Africa,0.0011174452
order_country_Ukraine,0.0011144903
product_name_Polar Loop Activity Tracker,0.0011142652
market_USCA,0.0011128268
product_name_Team Golf St. Louis Cardinals Putter Grip,0.0011089847
product_name_ENO Atlas Hammock Straps,0.001106063
product_name_Under Armour Women's Micro G Skulpt Running S,0.0011041814
order_country_Angola,0.0010990489
department_name_Book Shop,0.001096354
product_name_adidas Kids' F5 Messi FG Soccer Cleat,0.0010865884
product_name_Hirzl Women's Hybrid Golf Glove,0.001085427
order_country_Togo,0.0010826776
order_country_Sudan,0.0010826478
order_country_Niger,0.0010699622
order_country_Papua New Guinea,0.0010670113
product_name_Under Armour Women's Ignite Slide,0.0010665052
order_quarter,0.0010664016
customer_state_ID,0.0010661324
order_country_Camboya,0.0010645026
category_name_Pet Supplies,0.0010619578
order_country_Chile,0.0010573431
order_country_Afghanistan,0.0010563692
product_name_Top Flite Women's 2014 XL Hybrid,0.0010550979
category_name_Books,0.0010550313
order_country_Turkmenistan,0.0010523112
product_name_Cleveland Golf Collegiate My Custom Wedge 588,0.0010514244
order_country_Czech Republic,0.001051299
product_name_Nike Women's Free 5.0 TR FIT PRT 4 Training S,0.0010476832
product_name_Bushnell Pro X7 Jolt Slope Rangefinder,0.0010472332
product_name_The North Face Women's Recon Backpack,0.0010354893
customer_segment_Consumer,0.0010318091
customer_state_OK,0.0010292104
category_name_Hunting & Shooting,0.001025763
order_country_Trinidad and Tobago,0.001024683
category_name_Women's Golf Clubs,0.001020977
order_country_Uzbekistan,0.0010180494
product_name_Field & Stream Sportsman 16 Gun Fire Safe,0.0010146454
category_name_Golf Shoes,0.0010144555
product_name_LIJA Women's Mid-Length Panel Golf Shorts,0.0010109964
order_country_Zimbabwe,0.001009579
category_name_Soccer,0.0010093116
order_country_Romania,0.001005035
order_country_Senegal,0.0010038686
product_name_Titleist Pro V1x Golf Balls,0.0009918078
order_country_Yemen,0.0009901176
order_country_Kazakhstan,0.000989187
product_name_Titleist Pro V1x High Numbers Golf Balls,0.0009875891
order_country_Gabon,0.0009795172
product_name_infrequent_sklearn,0.0009793434
customer_state_MN,0.0009791362
category_name_Toys,0.00097330887
order_country_Barbados,0.0009665412
order_country_Ethiopia,0.00096543366
product_name_Titleist Pro V1x High Numbers Personalized Go,0.0009525721
customer_state_AL,0.0009480466
category_name_Computers,0.00094580057
order_country_Hungary,0.0009443643
product_name_Nike Men's Fingertrap Max Training Shoe,0.00093525246
order_country_Tunisia,0.00093483494
order_country_Belarus,0.0009232576
product_name_Mio ALPHA Heart Rate Monitor/Sport Watch,0.00090349384
order_country_Mali,0.0008994998
order_country_Qatar,0.0008950399
product_name_insta-bed Neverflat Air Mattress,0.00089141465
order_country_United Arab Emirates,0.0008911923
order_country_Lebanon,0.00088065624
order_country_Kenya,0.0008760958
order_country_Bangladesh,0.0008748597
order_country_Botswana,0.00087373663
product_name_Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,0.00087213155
product_name_Bag Boy Beverage Holder,0.00087175297
order_country_Estonia,0.0008712737
order_country_Bosnia and Herzegovina,0.00086375605
category_name_Basketball,0.00085923687
order_country_Liberia,0.00085839716
product_name_Columbia Men's PFG Anchor Tough T-Shirt,0.00085556135
product_name_Team Golf Tennessee Volunteers Putter Grip,0.00084434485
product_name_Nike Women's Tempo Shorts,0.00083377614
order_country_Georgia,0.0008336809
order_country_Suriname,0.0008295798
order_country_Croacia,0.0008272418
product_name_Bowflex SelectTech 1090 Dumbbells,0.00082700606
order_country_Guyana,0.0008229266
order_country_Kyrgyzstan,0.00081712706
order_country_Switzerland,0.0008085735
product_name_Garmin Approach S3 Golf GPS Watch,0.0008058139
order_country_Taiwan,0.0007978589
order_country_Republic of the Congo,0.000794258
order_country_Sierra Leone,0.00078980095
product_name_Stiga Master Series ST3100 Competition Indoor,0.00078021316
order_country_Mauritania,0.00076859404
order_country_Libya,0.0007664946
product_name_Team Golf Texas Longhorns Putter Grip,0.0007629228
product_name_Glove It Imperial Golf Towel,0.0007610206
product_name_Fighting video games,0.0007443568
order_country_Guinea-Bissau,0.0007407156
product_name_Garmin Approach S4 Golf GPS Watch,0.0007374972
product_name_Nike Dri-FIT Crew Sock 6 Pack,0.0007289009
order_country_Paraguay,0.0007271714
product_name_TaylorMade 2014 Purelite Stand Bag,0.0007247872
product_name_Titleist Club Glove Travel Cover,0.00071535714
product_name_Merrell Women's Siren Mid Waterproof Hiking B,0.00070785417
order_country_Bulgaria,0.00069411105
order_country_infrequent_sklearn,0.000679372
category_name_Sporting Goods,0.000672659
order_country_Jamaica,0.0006662424
order_country_Syria,0.00066292455
order_country_Rwanda,0.0006477563
order_country_Cyprus,0.0006400953
order_country_Hong Kong,0.0006303059
product_name_SOLE E35 Elliptical,0.000626629
customer_state_95758,0.00059683685
order_country_Tajikistan,0.0005605725
product_name_Garmin Forerunner 910XT GPS Watch,0.0005461268
product_name_Titleist Small Wheeled Travel Cover,0.0004546324
order_country_Costa Rica,0.0
order_country_Nepal,0.0
product_name_First aid kit,0.0
order_country_Guadalupe,0.0
category_name_Hockey,0.0
order_country_Central African Republic,0.0
order_country_Guinea,0.0
order_country_Oman,0.0
customer_state_WV,0.0
order_country_Namibia,0.0
product_name_Toys,0.0
customer_state_DE,0.0
order_country_Jordan,0.0
order_country_Montenegro,0.0
product_name_Fitbit The One Wireless Activity & Sleep Trac,0.0
order_country_Moldova,0.0
order_country_Djibouti,0.0
product_name_Total Gym 1400,0.0
customer_state_PR,0.0
product_name_Brooks Women's Ghost 6 Running Shoe,0.0
category_name_Health and Beauty,0.0
order_country_Azerbaijan,0.0
product_name_Children's heaters,0.0
product_name_LIJA Women's Argyle Golf Polo,0.0
product_name_LIJA Women's Button Golf Dress,0.0
product_name_Bag Boy M330 Push Cart,0.0
product_name_Adult dog supplies,0.0
product_name_Lawn mower,0.0
product_name_MDGolf Pittsburgh Penguins Putter,0.0
product_name_Men's gala suit,0.0
category_name_As Seen on  TV!,0.0
product_name_Merrell Women's Grassbow Sport Hiking Shoe,0.0
product_name_Nike Kids' Grade School KD VI Basketball Shoe,0.0
category_name_Boxing & MMA,0.0
product_name_Nike Men's Comfort 2 Slide,0.0
order_country_Albania,0.0
order_country_Uruguay,0.0
product_name_TaylorMade Women's RBZ SL Rescue,0.0
product_name_Nike Men's Free TR 5.0 TB Training Shoe,0.0
product_name_Nike Men's Kobe IX Elite Low Basketball Shoe,0.0
product_name_Nike Women's Legend V-Neck T-Shirt,0.0
product_name_GoPro HERO3+ Black Edition Camera,0.0
product_name_Ogio Race Golf Shoes,0.0
product_name_Pelican Maverick 100X Kayak,0.0
product_name_Diamondback Girls' Clarity 24 Hybrid Bike 201,0.0
product_name_Polar FT4 Heart Rate Monitor,0.0
category_name_Golf Bags & Carts,0.0
product_name_Smart watch,0.0
product_name_Sports Books,0.0
order_country_Slovakia,0.0
department_name_Health and Beauty,0.0
product_name_TaylorMade White Smoke IN-12 Putter,0.0
product_name_Rock music,0.0
