accuracy,precision,recall,f1,roc_auc,average_precision,balanced_accuracy,specificity,true_negative,false_positive,false_negative,true_positive,false_positive_rate,false_negative_rate,threshold
0.5804570595549458,0.5803013758462546,0.9869261625315704,0.7308633825673185,0.7390639448578895,0.8342811689796428,0.5062406900275741,0.02555521752357773,252,9609,176,13286,0.9744447824764223,0.013073837468429654,0.3000000000000001
0.5822149809201218,0.5818654218777524,0.9815034913088694,0.7306054741498479,0.7390639448578895,0.8342811689796428,0.5093097012370328,0.037115911165196226,366,9495,249,13213,0.9628840888348038,0.01849650869113059,0.3100000000000001
0.5845302919864511,0.5840688241062673,0.9733323428911008,0.7300534878537999,0.7390639448578895,0.8342811689796428,0.5135397136826461,0.053747084474191256,530,9331,359,13103,0.9462529155258087,0.026667657108899123,0.3200000000000001
0.5892037902499678,0.5881604652219344,0.9616698856039222,0.7299072534039974,0.7390639448578895,0.8342811689796428,0.5211959609542783,0.08072203630463441,796,9065,516,12946,0.9192779636953656,0.03833011439607785,0.3300000000000001
0.5927625091111778,0.5924095486758673,0.9438419254196999,0.7279289601833285,0.7390639448578895,0.8342811689796428,0.5286596301877934,0.11347733495588683,1119,8742,756,12706,0.8865226650441131,0.0561580745803001,0.34000000000000014
0.5991081764781546,0.5991129965291169,0.9231912048729758,0.7266561421972754,0.7390639448578895,0.8342811689796428,0.5399345132974553,0.1566778217219349,1545,8316,1034,12428,0.8433221782780651,0.07680879512702421,0.35000000000000014
0.6081979162200403,0.609335491048852,0.8950378844153914,0.725057166927428,0.7390639448578895,0.8342811689796428,0.5558243879028585,0.21661089139032552,2136,7725,1413,12049,0.7833891086096745,0.10496211558460852,0.36000000000000015
0.617373408223642,0.6217797337913268,0.8605704947258951,0.7219417959743254,0.7390639448578895,0.8342811689796428,0.5729685452029232,0.2853665956799513,2814,7047,1877,11585,0.7146334043200486,0.1394295052741049,0.37000000000000016
0.627792308022124,0.6371092629767708,0.8251374238597534,0.7190342104411431,0.7390639448578895,0.8342811689796428,0.5917594633749634,0.3583815028901734,3534,6327,2354,11108,0.6416184971098265,0.1748625761402466,0.38000000000000017
0.6381254555588903,0.6556919642857143,0.7855444956172931,0.7147685028725921,0.7390639448578895,0.8342811689796428,0.6112085118792276,0.4368725281411622,4308,5553,2887,10575,0.5631274718588378,0.21445550438270689,0.3900000000000002
0.6476439566093556,0.6768514771347632,0.7454315852027931,0.7094881221719457,0.7390639448578895,0.8342811689796428,0.6297891117373868,0.5141466382719805,5070,4791,3427,10035,0.48585336172801946,0.25456841479720693,0.4000000000000002
0.6559619259957982,0.6987863722766486,0.7099985143366513,0.7043478260869566,0.7390639448578895,0.8342811689796428,0.6460954948724125,0.5821924754081736,5741,4120,3904,9558,0.4178075245918264,0.2900014856633487,0.4100000000000002
0.6641083908588089,0.7226618135780978,0.6784281681770911,0.6998467432950192,0.7390639448578895,0.8342811689796428,0.661493771746998,0.644559375316905,6356,3505,4329,9133,0.355440624683095,0.32157183182290894,0.4200000000000002
0.6710972001886549,0.745194343297485,0.6536918734214827,0.6964504768311504,0.7390639448578895,0.8342811689796428,0.6742752035193815,0.6948585336172802,6852,3009,4662,8800,0.30514146638271983,0.3463081265785173,0.4300000000000002
0.6754276894053081,0.7648327939590076,0.632001188530679,0.6921011958024892,0.7390639448578895,0.8342811689796428,0.6833568461667694,0.7347125038028598,7245,2616,4954,8508,0.26528749619714026,0.36799881146932106,0.4400000000000002
0.6793294173133816,0.7843901511550527,0.6129104145000743,0.6881281014136191,0.7390639448578895,0.8342811689796428,0.6914567283939375,0.7700030422878005,7593,2268,5211,8251,0.22999695771219958,0.3870895854999257,0.45000000000000023
0.6820306135574326,0.8009757068896853,0.5976080820086168,0.6845060835531354,0.7390639448578895,0.8342811689796428,0.6974451524534515,0.7972822228982862,7862,1999,5417,8045,0.20271777710171382,0.40239191799138313,0.46000000000000024
0.6849890665866312,0.8154338182193336,0.5871341554003863,0.6827035197581516,0.7390639448578895,0.8342811689796428,0.7028561964508269,0.8185782375012676,8072,1789,5558,7904,0.18142176249873238,0.41286584459961373,0.47000000000000025
0.6861895982506538,0.8271381403770369,0.5768830782944585,0.6797076714366986,0.7390639448578895,0.8342811689796428,0.7061476541457081,0.8354122299969577,8238,1623,5696,7766,0.16458777000304228,0.42311692170554155,0.48000000000000026
0.6868756163443811,0.8371838388262345,0.5679690982023473,0.6767868997565833,0.7390639448578895,0.8342811689796428,0.7085865164472847,0.8492039346922219,8374,1487,5816,7646,0.15079606530777812,0.43203090179765263,0.49000000000000027
0.6883762809244094,0.8464980980085031,0.5620264448076066,0.6755357142857142,0.7390639448578895,0.8342811689796428,0.7114462413673972,0.860866037927188,8489,1372,5896,7566,0.1391339620728121,0.4379735551923934,0.5000000000000002
0.6889765467564207,0.8539338654503991,0.5563066409151686,0.6737135660309463,0.7390639448578895,0.8342811689796428,0.7132004759184909,0.8700943109218132,8580,1281,5973,7489,0.1299056890781868,0.4436933590848314,0.5100000000000002
0.6899626977661536,0.861384990140355,0.5516268013668103,0.6725535479780826,0.7390639448578895,0.8342811689796428,0.7152211686582556,0.8788155359497009,8666,1195,6036,7426,0.12118446405029916,0.4483731986331897,0.5200000000000002
0.6905629635981649,0.8673097282672627,0.5476897934927946,0.6714019032008378,0.7390639448578895,0.8342811689796428,0.71664988609839,0.8856099787039854,8733,1128,6089,7373,0.1143900212960146,0.4523102065072055,0.5300000000000002
0.6915491146078978,0.8722974578284628,0.5454612984697668,0.6712065813528336,0.7390639448578895,0.8342811689796428,0.7182229928105857,0.8909846871514046,8786,1075,6119,7343,0.10901531284859547,0.45453870153023324,0.5400000000000003
0.6919778759164773,0.8749402771141902,0.5441242014559501,0.6709718787212604,0.7390639448578895,0.8342811689796428,0.7189741786105428,0.8938241557651354,8814,1047,6137,7325,0.10617584423486462,0.4558757985440499,0.5500000000000003
0.6914204862153239,0.8761859012849765,0.5419699896003566,0.6696957180228555,0.7390639448578895,0.8342811689796428,0.7187083494295262,0.8954467092586958,8830,1031,6166,7296,0.10455329074130412,0.4580300103996434,0.5600000000000003
0.6915062384770398,0.8782136391068196,0.5404843262516714,0.6691497677840622,0.7390639448578895,0.8342811689796428,0.7190810232820064,0.8976777203123415,8852,1009,6186,7276,0.10232227968765845,0.45951567374832863,0.5700000000000003
0.6911632294301763,0.8791954440809403,0.5389986629029861,0.6682938061247985,0.7390639448578895,0.8342811689796428,0.718946649167749,0.8988946354325119,8864,997,6206,7256,0.10110536456748809,0.4610013370970138,0.5800000000000003
0.69129185782275,0.8800679776644816,0.5385529638983806,0.6682027649769585,0.7390639448578895,0.8342811689796428,0.7191801428355101,0.8998073217726397,8873,988,6212,7250,0.1001926782273603,0.46144703610161936,0.5900000000000003
0.6911632294301763,0.8803938252096755,0.5380329817263408,0.6678961685647102,0.7390639448578895,0.8342811689796428,0.7191229709361853,0.9002129601460298,8877,984,6219,7243,0.09978703985397018,0.4619670182736592,0.6000000000000003
0.6911632294301763,0.8807640832218031,0.5377358490566038,0.6677736266777363,0.7390639448578895,0.8342811689796428,0.7191772237880119,0.9006185985194199,8881,980,6223,7239,0.09938140148058006,0.46226415094339623,0.6100000000000003
0.6910774771684604,0.8809204919030805,0.5374387163868667,0.6675893886966552,0.7390639448578895,0.8342811689796428,0.7191300670464909,0.900821417706115,8883,978,6227,7235,0.099178582293885,0.46256128361313326,0.6200000000000003
0.6909917249067444,0.8809842855402606,0.5372158668845639,0.6674357436205066,0.7390639448578895,0.8342811689796428,0.7190693470920132,0.9009228272994625,8884,977,6230,7232,0.09907717270053747,0.46278413311543604,0.6300000000000003
0.6909917249067444,0.881262952578325,0.5369930173822611,0.6673436418186014,0.7390639448578895,0.8342811689796428,0.7191100367308831,0.9012270560795052,8887,974,6233,7229,0.09877294392049488,0.4630069826177388,0.6400000000000003
0.6907344681215967,0.8812690665039659,0.5364730352102214,0.6669437133490327,0.7390639448578895,0.8342811689796428,0.718900750441537,0.9013284656728526,8888,973,6240,7222,0.09867153432714734,0.4635269647897786,0.6500000000000004
0.6905629635981649,0.8812110853375656,0.5361759025404843,0.6666974553179698,0.7390639448578895,0.8342811689796428,0.7187521841066684,0.9013284656728526,8888,973,6244,7218,0.09867153432714734,0.4638240974595157,0.6600000000000004
0.6905629635981649,0.8816770565945483,0.535804486703313,0.6665434551587118,0.7390639448578895,0.8342811689796428,0.7188200001714518,0.9018355136395904,8893,968,6249,7213,0.0981644863604097,0.46419551329668696,0.6700000000000004
0.690434335205591,0.8821008814887366,0.535210221363839,0.6662043458159963,0.7390639448578895,0.8342811689796428,0.7187763914850835,0.902342561606328,8898,963,6257,7205,0.09765743839367204,0.46478977863616106,0.6800000000000004
0.6900484500278695,0.8823457244509876,0.5342445401871936,0.665525378244575,0.7390639448578895,0.8342811689796428,0.7184963700834559,0.9027481999797181,8902,959,6270,7192,0.09725180002028191,0.4657554598128064,0.6900000000000004
0.6891051751489946,0.882309491567155,0.532387461001337,0.6640722724113968,0.7390639448578895,0.8342811689796428,0.7177199448805489,0.9030524287597607,8905,956,6295,7167,0.09694757124023932,0.4676125389986629,0.7000000000000004
0.6879475196158299,0.8827680118841298,0.5297132669737038,0.6621169916434541,0.7390639448578895,0.8342811689796428,0.7168391910367962,0.9039651150998884,8914,947,6331,7131,0.09603488490011156,0.47028673302629626,0.7100000000000004
0.6864897311666596,0.8845672836418209,0.5254048432625167,0.6592413086028521,0.7390639448578895,0.8342811689796428,0.7159018943013729,0.9063989453402291,8938,923,6389,7073,0.09360105465977081,0.47459515673748326,0.7200000000000004
0.6837456587917506,0.8862655496318863,0.5186450750259991,0.6543580131208997,0.7390639448578895,0.8342811689796428,0.7138910396933058,0.9091370043606125,8965,896,6480,6982,0.09086299563938749,0.4813549249740009,0.7300000000000004
0.6797153024911032,0.8880829015544042,0.5092853959292825,0.6473420829005759,0.7390639448578895,0.8342811689796428,0.710833753638508,0.9123821113477335,8997,864,6606,6856,0.08761788865226651,0.4907146040707176,0.7400000000000004
